Date,Negative Score,Neutral Score,Positive Score,Compound Score,count
2019/4/3,0.055,0.874,0.071,0.5346,1
2019/4/4,0.37,6.131,0.498,1.5126,7
2019/4/5,0.188,2.609,0.204,-0.6812,3
2019/4/8,0.184,3.45,0.365,3.8191,4
2019/4/9,0.077,0.837,0.086,0.7066,1
2019/4/12,0.126,1.726,0.149,0.6839,2
2019/4/16,0.04,0.898,0.062,0.9792,1
2019/4/17,0.091,0.858,0.051,-0.9925,1
2019/4/18,0.059,0.854,0.086,0.9231,1
2019/4/19,0.124,0.788,0.088,-0.9958,1
2019/4/20,0.107,2.669,0.224,2.7845,3
2019/4/21,0.034,0.882,0.084,0.9943,1
2019/4/22,0.092,0.824,0.084,-0.3578,1
2019/4/23,0.246,4.28,0.474,4.2191,5
2019/4/24,0.234,3.467,0.298,2.2797,4
2019/4/25,0.127,3.478,0.394,3.9315,4
2019/4/26,0.227,2.527,0.246,-0.8604,3
2019/4/27,0.081,0.814,0.105,0.4767,1
2019/4/29,0.156,2.552,0.292,2.7445,3
2019/5/1,0.196,2.466,0.338,1.4382,3
2019/5/2,0.179,3.378,0.443,3.9673,4
2019/5/3,0.212,4.291,0.496,4.9318,5
2019/5/4,0.09,0.78,0.131,0.8271,1
2019/5/5,0.044,0.9,0.057,0.1531,1
2019/5/7,0.227,3.484,0.29,1.6942,4
2019/5/8,0.062,1.799,0.139,1.9582,2
2019/5/9,0.217,2.494,0.288,-0.6281,3
2019/5/10,0.062,0.888,0.05,-0.9894,1
2019/5/13,0.043,0.875,0.082,0.9759,1
2019/5/16,0.26,3.396,0.346,1.5457,4
2019/5/17,0.026,0.879,0.095,0.9945,1
2019/5/20,0.198,3.399,0.403,3.0298,4
2019/5/21,0.314,5.235,0.451,1.9699,6
2019/5/22,0.028,0.874,0.098,0.9812,1
2019/5/23,0.161,1.683,0.156,-0.114,2
2019/5/24,0.058,0.823,0.119,0.9992,1
2019/5/26,0.077,1.699,0.223,1.9938,2
2019/5/27,0.061,0.85,0.09,0.9105,1
2019/5/28,0.11,0.79,0.1,-0.7817,1
2019/5/29,0.109,3.381,0.51,3.9864,4
2019/5/31,0.255,3.518,0.228,-0.5216,4
2019/6/1,0.14,0.743,0.117,-0.5994,1
2019/6/3,0.067,1.731,0.202,1.9094,2
2019/6/4,0.057,0.855,0.087,0.8271,1
2019/6/5,0.049,0.901,0.05,0.7703,1
2019/6/7,0.052,0.821,0.127,0.9982,1
2019/6/8,0.038,0.884,0.078,0.9936,1
2019/6/9,0.037,0.843,0.12,0.991,1
2019/6/12,0.277,4.298,0.424,2.5767,5
2019/6/13,0.094,1.778,0.129,1.8532,2
2019/6/14,0.016,0.878,0.106,0.9844,1
2019/6/15,0.006,0.882,0.113,0.9971,1
2019/6/16,0.15,1.62,0.23,0.127,2
2019/6/18,0.046,1.773,0.181,1.9919,2
2019/6/20,0.025,0.871,0.103,0.9964,1
2019/6/21,0.055,0.889,0.056,0.6701,1
2019/6/29,0.03,0.835,0.134,0.9956,1
2019/7/2,0.046,0.836,0.118,0.9977,1
2019/7/3,0.285,4.318,0.395,1.6438,5
2019/7/4,0.025,0.857,0.118,0.9991,1
2019/7/7,0.143,1.678,0.179,1.8352,2
2019/7/10,0.019,0.895,0.086,0.9942,1
2019/7/15,0.066,0.865,0.069,-0.1582,1
2019/7/16,0.136,2.648,0.216,1.0431,3
2019/7/18,0.156,1.672,0.172,1.3115,2
2019/7/21,0.048,0.834,0.118,0.9971,1
2019/7/24,0.123,1.635,0.242,1.9524,2
2019/7/25,0.513,7.641,0.845,7.4225,9
2019/7/26,0.054,0.821,0.125,0.9961,1
2019/7/28,0.042,0.874,0.083,0.9915,1
2019/7/29,0.056,0.91,0.034,-0.7708,1
2019/8/2,0.007,0.85,0.143,0.9944,1
2019/8/6,0.048,1.709,0.243,1.9925,2
2019/8/7,0.048,0.892,0.06,0.4767,1
2019/8/13,0.057,0.882,0.061,0.5105,1
2019/8/16,0.029,0.88,0.091,0.9938,1
2019/8/17,0.089,0.88,0.031,-0.7964,1
2019/8/19,0.035,0.915,0.05,0.627,1
2019/8/20,0.059,0.881,0.061,-0.0258,1
2019/8/21,0.225,2.457,0.317,0.9598,3
2019/8/22,0.055,0.894,0.051,-0.8126,1
